SDSS,Plate,MJD,Fiber,RA,Dec,umag,gmag,rmag,imag,zmag,Teff,logg,Mass,Type,spec_file,filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err,match_separation_arcsec,gaia_WDJ_name,gaia_source_id,gaia_ra,gaia_dec,gaia_parallax,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_umag,gaia_gmag,gaia_rmag,gaia_imag,gaia_zmag,gaia_teff_H,gaia_logg_H,gaia_mass_H,gaia_Pwd
000052.44-002610.5,387,51791,168,0.21850859,-0.43624863,19.15,18.73,18.67,18.65,18.8,10088.0,9.32,,DQ,results_convolution_2/spectra/spec-0387-51791-0168.fits,spec-0387-51791-0168.fits,0387-51789-01,387.0,51791.0,168.0,,18.802656766596375,0.0073638409661695,18.76478692674994,0.0061915758043455,18.631311938919048,0.0031049617665957,18.60744460703521,0.0051316989213416,18.612399289926422,0.0021129654398698,18.69060008797451,0.0050044947268177,18.60580848694624,0.0091063231620669,18.92210115696381,0.0251521482415689,18.706782658668168,0.0020901721885363,18.822840676756776,0.0121132458553567,19.079887711388142,0.0267027993831016,18.649540597538497,0.0114921850270456,0.848722153682279,WDJ000052.45-002610.53 ,2449884942327523456,0.21849744982000235,-0.43648412281866505,8.479378225227052,18.627745,18.785292,18.395708,19.101,18.75,18.629,18.668,18.825,7876.652,8.172366,0.7010543,0.992765
000055.12-042449.0,2630,54327,342,0.229656,-4.413623,19.95,19.94,20.2,20.38,20.54,14290.0,8.39,,DBA:,results_convolution_2/spectra/spec-2630-54327-0342.fits,spec-2630-54327-0342.fits,2630-54327-01,2630.0,54327.0,342.0,,19.81850051564512,0.0078562332878404,19.83917125802501,0.0070265561290334,20.28977876045389,0.0059161766657038,20.20790162178401,0.0089495895506932,20.12615664574516,0.0034021506383893,19.981175291817443,0.0069323510231765,20.10551714767687,0.0145630642517837,19.84142812293411,0.0297555546652573,19.90956203140532,0.0026379668839732,19.77471882799004,0.0123284139547069,19.99910164372128,0.0253556333978245,20.23681279000639,0.0194331650698603,0.13539211030390597,WDJ000055.11-042449.02 ,2447722546552951040,0.2296773284872154,-4.413654019679769,1.9021290239625999,20.018524,20.047228,20.24222,19.812,19.979,20.07,20.328,20.645,17551.43,8.167116,0.7179977,0.997967
000100.42-042742.9,2630,54327,359,0.251732,-4.461908,18.86,18.48,18.71,18.94,19.07,16503.0,7.57,0.447,DA,results_convolution_2/spectra/spec-2630-54327-0359.fits,spec-2630-54327-0359.fits,2630-54327-01,2630.0,54327.0,359.0,,18.54929744365983,0.0031723994236431,18.50745451961543,0.0028006456900411,18.91293213309894,0.0018908984228667,18.919139347762677,0.0035258694847547,18.677686156377327,0.0011564467952068,18.463431640104496,0.0024819473887623,19.013851561279218,0.0056141297475502,18.830022783387868,0.0124821170420189,18.483705873182764,0.000988701537738,18.72573488624939,0.0055829291598606,18.953852370516508,0.0109026715316299,19.08200454353146,0.0072298770823404,0.11866107869364692,WDJ000100.41-042742.85 ,2447719110579100032,0.25175648723563887,-4.461930146308818,2.3287401609749074,18.57626,18.600859,18.655455,18.837,18.482,18.702,18.895,19.167,13474.69,7.214304,0.3174492,0.995604
000104.05+000355.8,685,52203,490,0.26689384,0.06550543,19.25,18.82,19.05,19.28,19.47,13274.0,7.9,0.557,DA,results_convolution_2/spectra/spec-0685-52203-0490.fits,spec-0685-52203-0490.fits,0685-52202-02,685.0,52203.0,490.0,,18.9022822499094,0.0066438191530453,18.875443153817223,0.0058306701782019,19.31584911318981,0.0048730596205269,19.379638820487592,0.0081610207291796,19.07030770734898,0.0027112016346864,18.800223938008592,0.0049577265630974,19.393030312849326,0.0153046605688589,19.16545263037367,0.0265717980537455,18.829414446382597,0.0020168494262522,19.06434549401383,0.0117563392800118,19.30415381142989,0.0262097919317862,19.418400733295638,0.0195458228168616,0.09798927371693261,WDJ000104.06+000355.88 ,2546033488965366784,0.26691278523999734,0.06548588606171814,3.6694940570010104,18.94058,18.93914,19.024158,19.249,18.835,19.031,19.202,19.467,14298.08,8.179492,0.7196714,0.998014
000106.22+250330.0,2822,54389,397,0.275914,25.058346,19.5,19.52,19.7,19.94,20.22,15446.0,8.28,,DBAZ,results_convolution_2/spectra/spec-2822-54389-0397.fits,spec-2822-54389-0397.fits,2822-54379-01,2822.0,54389.0,397.0,,19.51820728607532,0.0048051736266546,19.46557822198149,0.0042379526791342,19.716187895351048,0.0035176455389393,19.73112802015121,0.00554554099818,19.633491160783272,0.002114768235443,19.54067463271516,0.0042155708082929,19.5940049188548,0.0095644131312835,19.612329382601864,0.0162962878578217,19.51732963045708,0.0016132972022515,19.52698458947524,0.0075389492669658,19.75775472397033,0.0147053232205926,19.64817251213031,0.0122491719189728,0.15342992541565245,WDJ000106.23+250330.13 ,2853069985013789824,0.27588648405068616,25.058311429688725,1.8887778242706763,19.605484,19.62858,19.569244,19.52,19.512,19.683,19.931,20.234,12414.09,7.427915,0.3730334,0.984316
000110.10+273520.4,2824,54452,207,0.292066,27.589004,20.31,19.87,20.06,20.14,20.46,13006.0,7.95,0.581,DA,results_convolution_2/spectra/spec-2824-54452-0207.fits,spec-2824-54452-0207.fits,2824-54414-01,2824.0,54452.0,207.0,,20.037691451322907,,19.99642496533911,,20.30224899163853,,20.31591820490436,,20.04919797393267,,19.85231910948516,,20.376303287471963,,20.397760515990093,,19.912860977030213,,20.243890394689025,,20.533960482512704,,20.467083860035693,,0.18916676800585447,WDJ000110.10+273520.48 ,2854730831687237632,0.29200738284730066,27.588996118896194,1.640474001383557,19.943665,20.086674,19.91749,20.338,19.862,20.042,20.127,20.476,10564.89,7.259539,0.3129089,0.872486
000115.77+285647.3,2824,54452,432,0.315689,28.946466,20.11,19.76,19.96,20.14,20.32,13242.0,8.07,0.646,DA,results_convolution_2/spectra/spec-2824-54452-0432.fits,spec-2824-54452-0432.fits,2824-54414-01,2824.0,54452.0,432.0,,19.950900641175828,0.0075002625361639,19.90173193229392,0.0064025238334317,20.28989892713917,0.0049859814792943,20.31230077773781,0.0092607546809511,19.98553858068805,0.002794312264242,19.740396945429048,0.0050388898461937,20.553898053488204,0.0170582623459878,20.187292218726093,0.0292701173147496,19.801068091702252,0.0021290583190298,20.134087828705184,0.0131603704156797,20.324257732884853,0.0274704583673244,20.563415096884803,0.0210780701560029,0.09108228019215243,WDJ000115.77+285647.36 ,2855153009792862592,0.31569700546361207,28.946441688542283,2.793872643467292,19.839548,19.829134,19.959044,20.116,19.738,19.933,20.126,20.308,17604.62,8.555792,0.9643493,0.997914
000122.51+235934.2,2822,54389,284,0.343778,23.992825,20.6,20.43,20.53,20.58,20.7,12362.0,7.66,,DB:,results_convolution_2/spectra/spec-2822-54389-0284.fits,spec-2822-54389-0284.fits,2822-54379-01,2822.0,54389.0,284.0,,20.40855933926695,0.0118455868284964,20.3886550528102,0.0097132041169627,20.641968209206645,0.0079302728790925,20.562415103622605,0.0118581593065864,20.49108226550066,0.0046434011093233,20.433645366356977,0.0088759573227354,20.66573793971815,0.0235801593835219,20.686637347156143,0.0613950907428047,20.41567151524155,0.0035888146253205,20.473598759868143,0.0205850274370199,20.773970586187158,0.0431927316150732,20.68424302986725,0.0296742173568623,0.2541524537092151,WDJ000122.51+235934.23 ,2848447668194928000,0.3437219169525727,23.99277643246705,2.11181774335721,20.367275,20.509645,19.957216,20.523,20.367,20.434,20.495,20.664,,,,0.572728
000127.50+003759.3,685,52203,491,0.36457288,0.63314938,19.04,18.84,19.13,19.46,19.72,18006.0,7.8,0.522,DA,results_convolution_2/spectra/spec-0685-52203-0491.fits,spec-0685-52203-0491.fits,0685-52202-02,685.0,52203.0,491.0,,18.8491434825286,,18.86594804289493,,19.68512796510057,,19.568445086423075,,19.31008392232119,,18.99090475937438,,19.82409270594527,,18.938237803217284,,18.926175123825907,,18.93958141999469,,19.08544560815141,,19.87891292301986,,0.31313160081936453,WDJ000127.48+003759.07 ,2738250352251363968,0.36453128321608264,0.6330729888144616,1.9251778890123952,19.016176,19.020182,19.202742,19.058,18.853,19.176,19.407,19.828,17443.24,7.545392,0.4255172,0.998542
000142.79+251504.1,2822,54389,432,0.4283,25.251134,19.16,18.7,19.01,19.32,19.65,18039.0,8.0,0.618,DA,results_convolution_2/spectra/spec-2822-54389-0432.fits,spec-2822-54389-0432.fits,2822-54379-01,2822.0,54389.0,432.0,,18.59526203601289,,18.557816449612154,,19.01778281327588,,19.016469273919448,,18.752376849511823,,18.49696424192009,,19.098393268239494,,18.824346028554224,,18.518919068763715,,18.762510967390817,,18.957569171039573,,19.158515906406716,,0.14851005078108453,WDJ000142.79+251504.18 ,2853079051690361088,0.42832934680810325,25.25110242023154,3.5263608586150483,18.857004,18.75228,18.832981,19.248,18.729,19.024,19.248,19.404,20503.68,8.460786,0.9081651,0.996057
000159.97+275521.1,2824,54452,180,0.499863,27.922529,20.24,19.5,19.2,19.09,19.07,6309.0,7.83,0.501,DA,results_convolution_2/spectra/spec-2824-54452-0180.fits,spec-2824-54452-0180.fits,2824-54414-01,2824.0,54452.0,180.0,,19.773371386740244,,19.68356165391801,,19.10633651823418,,19.22463169381907,,19.21429016450913,,19.432263110643312,,19.017406662406863,,19.9454493735688,,19.534888029293803,,19.86957148464456,,20.092436514088654,,19.094823518284848,,0.1879526694813201,WDJ000159.97+275521.23 ,2854765225785421568,0.4998390371122661,27.922481277004042,8.352718761587719,19.171207,19.457487,18.767826,20.229,19.481,19.182,19.071,19.052,6300.631,7.936963,0.5521594,0.987838
000205.57+002041.8,685,52203,540,0.52320831,0.34495433,19.95,20.13,20.4,20.57,20.94,18912.0,8.19,0.704,DB,results_convolution_2/spectra/spec-0685-52203-0540.fits,spec-0685-52203-0540.fits,0685-52202-02,685.0,52203.0,540.0,,19.96056560932777,0.0139907447230601,19.898027193532226,0.0115830253899143,20.74040919203022,0.0153635835320833,20.612368110883544,0.0206148247408481,20.492996151362497,0.0084000253902129,20.20761525367161,0.0133620258774312,20.79334700922453,0.0483246456911127,19.97182339029495,0.0467475855355796,20.086765531919877,0.0048799478251742,19.84923633975159,0.0200513985002352,20.10778301042969,0.0438923838398341,20.801113715619344,0.0601305079340677,0.21452352284395987,WDJ000205.57+002041.78 ,2546071319037449088,0.5232199687572339,0.34489589173676966,1.0726026675428109,20.218084,20.114376,20.063278,19.867,20.05,20.309,20.581,21.034,,,,0.866433
000208.73-050855.1,2630,54327,273,0.536394,-5.148645,19.67,19.43,19.74,19.99,20.03,17302.0,7.83,0.534,DA,results_convolution_2/spectra/spec-2630-54327-0273.fits,spec-2630-54327-0273.fits,2630-54327-01,2630.0,54327.0,273.0,,19.36842669724728,0.0064823250037201,19.34933759536127,0.0052388441742205,20.04436896131121,0.0048061336524182,20.00311421954978,0.0077868400756512,19.72755856429205,0.0024815953806168,19.422864050509084,0.0046347466929113,20.065861735791223,0.0144811312443352,19.64015791027329,0.0314568175342457,19.382222353544783,0.0019002034869488,19.54322357844898,0.011937743685227,19.757422803256027,0.0240303713983855,20.118334437034257,0.0174706025690078,0.24634023870666782,WDJ000208.75-050855.07 ,2444628658271747968,0.5363407335846831,-5.148688219308419,1.8181031639068277,19.595287,19.627275,19.727434,19.675,19.392,19.694,19.96,20.076,14543.36,7.605273,0.4340543,0.995892
000222.88-035418.9,2630,54327,377,0.595319,-3.905245,20.62,20.06,20.14,20.17,20.11,9533.0,8.09,0.65,DA,results_convolution_2/spectra/spec-2630-54327-0377.fits,spec-2630-54327-0377.fits,2630-54327-01,2630.0,54327.0,377.0,,20.2204487059093,,20.174070392424632,,20.23034058396401,,20.31635838037649,,20.115118153446097,,20.05289641391007,,20.309201087432093,,20.50065518929582,,20.10975824982578,,20.376638961156765,,20.629569550572132,,20.39566233906464,,0.3732306790663537,WDJ000222.86-035418.72 ,2447867304131018368,0.5954207412486703,-3.9052661016079435,4.181235522265356,20.048006,20.265081,19.943924,20.605,20.046,20.116,20.144,20.111,8458.325,8.236532,0.7438743,0.988317
000228.16+235547.9,2822,54389,251,0.617328,23.92998,18.7,18.67,18.89,19.08,19.38,26610.0,7.87,0.575,DA,results_convolution_2/spectra/spec-2822-54389-0251.fits,spec-2822-54389-0251.fits,2822-54379-01,2822.0,54389.0,251.0,,18.65404808594706,,18.65505238998417,,18.971814747463405,,19.04257953637579,,18.85722200889509,,18.687523298767765,,19.02862746628609,,18.77808896393565,,18.664145154633022,,18.71513302967518,,18.91523706989657,,19.085117361300668,,0.17944001653590214,WDJ000228.16+235547.95 ,2848432412471479424,0.6173808077604446,23.92999243466884,2.397145710724837,18.759378,18.757956,18.798325,18.677,18.642,18.892,19.071,19.368,17482.12,7.580121,0.4351996,0.996386
000241.09-052627.1,2630,54327,235,0.671208,-5.44087,19.1,19.14,19.48,19.8,19.92,23497.0,7.74,0.511,DA,results_convolution_2/spectra/spec-2630-54327-0235.fits,spec-2630-54327-0235.fits,2630-54327-01,2630.0,54327.0,235.0,,19.08638386942697,0.0051988121237654,19.080223576714157,0.0043077706385094,19.85574374704945,0.0041799432912003,19.746564990542545,0.0064563548544784,19.506680369302835,0.0020791670183257,19.18527582806576,0.0037768896129311,19.967624362095822,0.0139936628276393,19.21833395570831,0.0202751029118985,19.133919231833765,0.0015636519171887,19.18342618116686,0.0089802760364054,19.364484057245456,0.0175711805633537,20.03498811985252,0.0169306288053812,0.24864106237876912,WDJ000241.10-052627.09 ,2442920674333038464,0.6711700410418254,-5.440927812776674,2.380946455730365,19.304092,19.247744,19.460705,19.108,19.125,19.485,19.796,19.941,20618.04,8.211849,0.7510428,0.999203
000245.21-035355.4,2630,54327,412,0.688381,-3.898721,20.21,19.61,19.34,19.25,19.21,6305.0,10.0,,DC,results_convolution_2/spectra/spec-2630-54327-0412.fits,spec-2630-54327-0412.fits,2630-54327-01,2630.0,54327.0,412.0,,19.82722201127215,0.0074404598927569,19.74542816771297,0.00620340936475,19.215290000315957,0.002321022305959,19.2620648110016,0.0042782517668846,19.290868653395258,0.0017121184766872,19.48070767160055,0.0045572298477823,19.14747253785708,0.0061153807841325,20.003051448154302,0.0273256324069927,19.59164192359884,0.0019661505369474,19.89511016548652,0.0126797572001681,20.15875191220524,0.0272998389854965,19.23183925116889,0.0078228147488632,0.6983964100312886,WDJ000245.18-035355.31 ,2447855862338144896,0.6885754464771973,-3.8987219877022543,5.577685803377558,19.344639,19.656792,18.879177,20.228,19.581,19.307,19.21,19.147,5934.686,7.269801,0.2846167,0.845048
000246.00-010831.9,685,52203,61,0.69165489,-1.142207,20.06,19.77,20.02,20.23,20.42,15551.0,7.24,0.347,DA,results_convolution_2/spectra/spec-0685-52203-0061.fits,spec-0685-52203-0061.fits,0685-52202-02,685.0,52203.0,61.0,,19.786491453211102,0.0191739532837922,19.87239733596622,0.0174022736412558,21.747369338575133,0.0383599877352211,21.269316444108348,0.0446678607157148,20.90178713730173,0.0144379697694712,20.25858514568926,0.019477167070599,22.936316109305945,0.3028226571282776,20.003366519115183,0.0744125036462028,20.050872059036926,0.0070236063703717,19.926562870068857,0.0356634350270271,20.16378212638603,0.0728430825924274,22.72145583230029,0.3213694529701071,0.07806271375699368,WDJ000245.99-010831.88 ,2449642018977518976,0.6916383375455922,-1.1422210115938065,0.7167968364692365,19.82884,19.84896,19.870132,20.175,19.725,19.942,20.229,20.37,,,,0.81766
000252.78+135332.1,750,52235,3,0.71991651,13.89225,18.95,18.57,18.55,18.62,18.63,8592.0,8.04,0.619,DA,results_convolution_2/spectra/spec-0750-52235-0003.fits,spec-0750-52235-0003.fits,0750-52234-01,750.0,52235.0,3.0,,18.96069010026006,0.0105680045712264,18.914367127027667,0.0085915538441966,18.74334161911681,0.0033694721740489,18.809633755274696,0.0067608597302272,18.67220556315053,0.0025533436666771,18.64272918977772,0.0058022186561362,18.76599473211873,0.00972059485353,19.223860755236807,0.0470494316949355,18.749582287375556,0.002642726629329,19.12870231639547,0.0192227706481423,19.369187970301205,0.0369415120843679,18.845959741609384,0.0130717066529431,0.6611913905762519,WDJ000252.77+135331.93 ,2768869483342595456,0.7200162451587273,13.892406073333559,6.975653033475919,18.501747,18.665222,18.351011,18.939,18.55,18.541,18.603,18.617,8587.081,7.99022,0.590611,0.988736
000302.59+240555.8,2822,54389,211,0.76078,24.098831,19.21,18.83,19.0,19.2,19.35,12740.0,8.09,0.656,DA,results_convolution_2/spectra/spec-2822-54389-0211.fits,spec-2822-54389-0211.fits,2822-54379-01,2822.0,54389.0,211.0,,18.92094668654125,0.0039727768562521,18.87197881357948,0.0033155418281291,19.220044634500248,0.0025428124118118,19.285528780484604,0.0044859950434947,18.994988623589755,0.0014046510073493,18.759987990724404,0.0027039211478016,19.304978402054168,0.0088248160984988,19.15278835988648,0.0163843136408296,18.814497970521494,0.0011362600306011,19.118319350817693,0.0074566862968987,19.28628231205837,0.0140888564087833,19.373670680749505,0.0107047593111022,0.3715031925625417,WDJ000302.58+240555.92 ,2849936686112328576,0.7608461888027133,24.098747341746794,3.8105445652723917,18.879145,18.891542,18.931507,19.195,18.814,19.011,19.201,19.354,13816.65,8.14346,0.696229,0.9975
000308.33-094147.0,650,52143,550,0.7846892,-9.6963886,19.34,18.87,18.83,18.9,19.0,8531.0,8.19,0.708,DA,results_convolution_2/spectra/spec-0650-52143-0550.fits,spec-0650-52143-0550.fits,0650-52142-01,650.0,52143.0,550.0,,18.78179041445892,,18.792959729094044,,18.834014432384883,,18.92201368755982,,18.776002480170725,,18.71771533252211,,18.846347497062347,,18.932020090752932,,18.74137525986385,,18.853305954593655,,19.081730370184765,,18.92362747003427,,0.5928021418940626,WDJ000308.33-094147.09 ,2428878227218865024,0.7848020066010639,-9.696267146460968,5.894990895982377,18.777388,18.942537,18.537634,19.332,18.87,18.833,18.897,19.03,7742.184,7.689381,0.4411183,0.96532
