catalog_source,object_id,ra,dec,plate,mjd,fiber,u_mag,g_mag,r_mag,i_mag,z_mag,teff,logg,mass,wd_type,gaia_source_id,parallax,bp_mag,rp_mag,obsid,uid,ra_obs,dec_obs,lmjd,planid,spid,fiberid,snr_u,snr_g,snr_r,snr_i,snr_z,spec_class,spec_subclass,wd_subclass,z,z_err,ps_id,ps_g_mag,ps_r_mag,ps_i_mag,ps_z_mag,ps_y_mag,gaia_g_mag,teff_err,logg_err,has_spectrum,spectrum_source,spectrum_identifier,spectrum_url
SDSS_DR7,003948.97+144224.6,9.9540258,14.706841,419.0,51879.0,318.0,19.66,19.33,19.37,19.45,19.78,9653.0,8.7,1.019,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0318,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0318.fits
SDSS_DR7,004004.19+161049.6,10.017463,16.180439,418.0,51884.0,567.0,20.3,19.94,20.02,20.23,20.13,11864.0,8.06,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0567,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0567.fits
SDSS_DR7,004022.22-010307.7,10.092577,-1.052134,1905.0,53613.0,288.0,19.05,18.8,19.03,19.33,19.43,15662.0,8.49,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1905-53613-0288,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1905/spec-1905-53613-0288.fits
SDSS_DR7,004022.22-010307.7,10.092577,-1.052134,1905.0,53706.0,287.0,19.05,18.8,19.03,19.33,19.43,15474.0,8.58,0.96,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1905-53706-0287,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1905/spec-1905-53706-0287.fits
SDSS_DR7,004022.88-002130.1,10.095354,-0.358355,1904.0,53682.0,278.0,15.21,14.75,14.95,15.11,15.27,15324.0,7.66,0.469,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1904-53682-0278,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1904/spec-1904-53682-0278.fits
SDSS_DR7,004051.37+144335.2,10.214037,14.726443,419.0,51868.0,263.0,20.3,19.87,20.04,20.24,20.29,16645.0,8.18,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0263,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0263.fits
SDSS_DR7,004051.37+144335.2,10.214037,14.726443,419.0,51879.0,280.0,20.3,19.87,20.04,20.24,20.29,14655.0,7.74,0.491,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0280,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0280.fits
SDSS_DR7,004101.99+155936.7,10.258272,15.993528,419.0,51812.0,330.0,18.95,18.99,19.25,19.59,19.74,21465.0,7.88,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51812-0330,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51812-0330.fits
SDSS_DR7,004101.99+155936.7,10.258272,15.993528,419.0,51868.0,330.0,18.95,18.99,19.25,19.59,19.74,20732.0,7.95,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0330,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0330.fits
SDSS_DR7,004101.99+155936.7,10.258272,15.993528,419.0,51879.0,321.0,18.95,18.99,19.25,19.59,19.74,21000.0,7.76,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0321,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0321.fits
SDSS_DR7,004103.11+142248.6,10.262978,14.380171,418.0,51884.0,70.0,17.46,17.41,17.81,18.12,18.44,21837.0,7.84,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0418-51884-0070,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0418/spec-0418-51884-0070.fits
SDSS_DR7,004103.12+142248.6,10.26298,14.380169,1896.0,53242.0,236.0,17.46,17.41,17.81,18.12,18.44,22611.0,7.93,0.593,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1896-53242-0236,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1896/spec-1896-53242-0236.fits
SDSS_DR7,004104.69+154025.7,10.269539,15.673795,419.0,51868.0,335.0,19.2,19.14,19.26,19.37,19.48,11019.0,9.55,,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0335,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0335.fits
SDSS_DR7,004104.69+154025.7,10.269539,15.673795,419.0,51879.0,339.0,19.2,19.14,19.26,19.37,19.48,11258.0,8.56,,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0339,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0339.fits
SDSS_DR7,004123.58+151109.0,10.348255,15.185836,419.0,51868.0,395.0,19.82,19.44,19.43,19.42,19.57,10196.0,7.5,,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0395,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0395.fits
SDSS_DR7,004123.58+151109.0,10.348255,15.185836,419.0,51879.0,383.0,19.82,19.44,19.43,19.42,19.57,10176.0,9.26,,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0383,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0383.fits
SDSS_DR7,004138.68+151104.9,10.41117,15.184707,419.0,51868.0,399.0,19.69,19.78,19.64,19.34,19.06,7537.0,8.11,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0399,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0399.fits
SDSS_DR7,004138.68+151104.9,10.41117,15.184707,419.0,51879.0,399.0,19.69,19.78,19.64,19.34,19.06,7290.0,7.95,,DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51879-0399,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51879-0399.fits
SDSS_DR7,004148.06-005127.5,10.450234,-0.85763,1905.0,53706.0,253.0,20.28,20.08,20.29,20.41,20.66,13253.0,8.07,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,1905-53706-0253,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/1905/spec-1905-53706-0253.fits
SDSS_DR7,004148.06-005127.4,10.450248,-0.85761814,691.0,52199.0,300.0,20.28,20.08,20.29,20.41,20.66,12883.0,8.49,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0691-52199-0300,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0691/spec-0691-52199-0300.fits
SDSS_DR7,004200.83+142804.3,10.503466,14.46786,419.0,51868.0,230.0,20.39,19.92,20.17,20.38,20.68,17231.0,7.89,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,SDSS,0419-51868-0230,https://data.sdss.org/sas/dr16/sdss/spectro/redux/26/spectra/0419/spec-0419-51868-0230.fits
